	album	artist	time	track
30	The+Unforgettable+Fire	Bad	2016-12-01 01:41:00	U2
31	The+Unforgettable+Fire	Bad	2016-12-01 01:41:00	U2
32	1989	Bad Blood	2016-12-01 01:47:00	Ryan Adams
33	Trouble+In+Mind	Bad Liver And A Broken Heart	2016-12-01 01:52:00	Hayes Carll
34	Greatest+Hits	Bad Luck	2016-12-01 01:56:00	Harold Melvin & The Bluenotes
35	Somewhere+Between+Heaven+And+Hell	Bad Luck	2016-12-01 02:02:00	Social Distortion
36	The+Southern+Harmony+&+Musical+Companion	Bad Luck Blue Eyes Goodbye	2016-12-01 02:07:00	The Black Crowes
37	I+Wish+I+Was+In+Heaven+Sitting+Down	Bad Luck City (edit)	2016-12-01 02:14:00	R. L. Burnside
38	Bad+Luck+Streak+In+Dancing+School	Bad Luck Streak In Dancing School	2016-12-01 02:19:00	Warren Zevon
39	Green+River	Bad Moon Rising	2016-12-01 02:22:00	Creedence Clearwater Revival
40	Long+Player	Bad 'N' Ruin	2016-12-01 02:24:00	Faces
41	This+Perfect+World	Bad Reputation	2016-12-01 02:29:00	Freedy Johnston
42	Bad+Self+Portraits	Bad Self Portraits	2016-12-01 02:33:00	Lake Street Dive
43	Katy+Lied	Bad Sneakers	2016-12-01 02:36:00	Steely Dan
44	Tomorrow+The+Green+Grass	Bad Time	2016-12-01 02:40:00	The Jayhawks
45	Bobby+Fuller+Died+for+Your+Sins	Bad Year for Rock and Roll	2016-12-01 02:44:00	Chuck Prophet
46	Goodbye	Badge	2016-12-01 02:47:00	Cream
47	Darkness+On+The+Edge+Of+Town	Badlands	2016-12-01 02:50:00	Bruce Springsteen
48	Elephant	Ball And Biscuit	2016-12-01 02:55:00	The White Stripes
49	Social+Distortion	Ball And Chain	2016-12-01 03:02:00	Social Distortion
50	Express	Ball Of Confusion	2016-12-01 03:08:00	Love And Rockets
51	Walkin'+In+The+Shadows+Of+Life	Ball Of Confusion	2016-12-01 03:12:00	Neville Brothers
52	Walkin'+In+The+Shadows+Of+Life	Ball Of Confusion	2016-12-01 03:12:00	Neville Brothers
53	Anthology+Disc+Two	Ball Of Confusion	2016-12-01 03:15:00	The Temptations
54	Highway+61+Revisited	Ballad Of A Thin Man	2016-12-01 03:20:00	Bob Dylan
55	Tumbleweed+Connection	Ballad Of A Well	2016-12-01 03:26:00	Elton John
56	Ballad+Of+Easy+Rider	Ballad Of Easy Rider	2016-12-01 03:31:00	The Byrds
57	Little+Criminals	Baltimore	2016-12-01 03:33:00	Randy Newman
58	Band+On+The+Run	Band On The Run	2016-12-01 03:37:00	Paul McCartney & Wings
59	Electric+Warrior	Bang A Gong (Get It On)	2016-12-01 03:43:00	T Rex
60	The+Ever+Popular+Tortured+Artist+Effect	Bang The Drum All Day	2016-12-01 03:47:00	Todd Rundgren
61	Barabajagal	Barabajagal	2016-12-01 03:51:00	Donovan
62	Bare+Trees	Bare Trees	2016-12-01 03:55:00	Fleetwood Mac
63	Duncan+Sheik	Barely Breathing	2016-12-01 04:01:00	Duncan Sheik
64	Who's+Next	Bargain	2016-12-01 04:05:00	The Who
65	Barton+Hollow	Barton Hollow	2016-12-01 04:11:00	The Civil Wars
66	Tim	Bastards Of Young	2016-12-01 04:15:00	The Replacements
67	Logozo	Batonga	2016-12-01 04:18:00	Angelique Kidjo
68	Led+Zeppelin+Iv	Battle Of Evermore	2016-12-01 04:23:00	Led Zeppelin
69	Led+Zeppelin+Iv	Battle Of Evermore	2016-12-01 04:25:00	Led Zeppelin
70	Whatever+&+Ever+Amen	Battle Of Who Could Care Less	2016-12-01 04:28:00	Ben Folds Five
71	Johnny+Winter	Be Careful With A Fool	2016-12-01 04:32:00	Johnny Winter
72	Presenting+The+Fabulous+Ronnettes+Featuring+Veronica	Be My Baby	2016-12-01 04:37:00	The Ronettes
73	Gordon	Be My Yoko Ono	2016-12-01 04:40:00	Barenaked Ladies
74	Runt:+The+Ballad+Of+Todd+Rundgren	Be Nice To Me	2016-12-01 04:42:00	Todd Rundgren
75	Be+OK	Be OK	2016-12-01 04:46:00	Ingrid Michaelson
76	Blue+Lines	Be Thankful For What You Got	2016-12-01 04:49:00	Massive Attack
77	Blaxploitation+Vol.3,+The+Payback	Be Thankful For What You Got	2016-12-01 04:53:00	William DeVaughn
78	Where+There's+Smoke+There's+Fire	Beast Of Burden	2016-12-01 05:00:00	Buckwheat Zydeco
79	Some+Girls	Beast Of Burden	2016-12-01 05:04:00	The Rolling Stones
80	The+Gift	Beat Surrender	2016-12-01 05:08:00	The Jam
81	All+That+You+Can't+Leave+Behind	Beautiful Day	2016-12-01 05:11:00	U2
82	New+Traditionalists	Beautiful World	2016-12-01 05:15:00	Devo
83	Heroes	Beauty And The Beast	2016-12-01 05:18:00	David Bowie
84	Heroes	Beauty And The Beast	2016-12-01 05:18:00	David Bowie
85	The+Capitol+Collectors+Series:+Gene+Vincent	Be	2016-12-01 05:22:00	Gene Vincent
86	Abbey+Road	Because	2016-12-01 05:24:00	The Beatles
87	The+Bridge	Because Of Her Beauty	2016-12-01 05:27:00	Karl Denson's Tiny Universe
88	Easter	Because The Night	2016-12-01 05:31:00	Patti Smith
89	Easter	Because The Night	2016-12-01 05:31:00	Patti Smith
90	Truth	Beck's Bolero	2016-12-01 05:34:00	Jeff Beck
91	Diesel+&+Dust	Beds Are Burning	2016-12-01 05:37:00	Midnight Oil
92	Playboy	Beechwood 4	2016-12-01 05:41:00	The Marvelettes
93	Ritual+De+Lo+Habitual	Been Caught Stealing	2016-12-01 05:44:00	Jane's Addiction
94	Wrong+Way+Up	Been There Done That	2016-12-01 05:47:00	Brian Eno and John Cale
95	Mirror+Blue	Beeswing	2016-12-01 05:50:00	Richard Thompson
96	Some+Girls	Before They Make Me Run	2016-12-01 05:55:00	The Rolling Stones
97	Unplugged	Before You Accuse Me	2016-12-01 05:59:00	Eric Clapton
98	God+Willin'+&+The+Creek+Don't+Rise	Beg Steal or Borrow	2016-12-01 06:03:00	Ray Lamontagne & The Pariah Dogs
99	The+Velvet+Underground	Beginning To See The Light	2016-12-01 06:09:00	The Velvet Underground
100	The+Chicago+Transit+Authority	Beginnings	2016-12-01 06:14:00	Chicago Transit Authority
101	Who's+Next	Behind Blue Eyes	2016-12-01 06:25:00	The Who
102	Especially+For+You	Behind The Wall Of Sleep	2016-12-01 06:29:00	The Smithereens
103	Sgt.+Pepper's+Lonely+Hearts+Club+Band	Being For The Benefit Of Mr. Kite!	2016-12-01 06:32:00	The Beatles
104	Continuum	Belief	2016-12-01 06:37:00	John Mayer
105	Are+You+Gonna+Go+My+Way?	Believe	2016-12-01 06:41:00	Lenny Kravitz
106	Wilder+Mind	Believe	2016-12-01 06:45:00	Mumford & Sons
107	Layla+And+Other+Assorted+Love+Songs	Bell Bottom Blues	2016-12-01 06:51:00	Derek & The Dominos
108	Orange	Bellbottoms	2016-12-01 06:56:00	Jon Spencer Blues Explosion
109	Grave+New+World	Benedictus	2016-12-01 07:01:00	Strawbs
110	Goodbye+Yellow+Brick+Road	Bennie and the Jets	2016-12-01 07:05:00	Elton John
111	Human+Performance	Berlin Got Blurry	2016-12-01 07:13:00	Parquet Courts
112	Heroes+Are+Hard+To+Find	Bermuda Triangle	2016-12-01 07:16:00	Fleetwood Mac
113	Four+Tops+Anthology	Bernadette	2016-12-01 07:23:00	Four Tops
114	Grateful+Dead	Bertha	2016-12-01 07:26:00	Grateful Dead
115	case/lang/veirs	Best Kept Secret	2016-12-01 07:31:00	case/lang/veirs
116	The+Stylistics	Betcha By Golly Wow	2016-12-01 07:35:00	The Stylistics
117	Edward+Sharpe+&+The+Magnetic+Zeros	Better Days	2016-12-01 07:40:00	Edward Sharpe & The Magnetic Zeros
118	Coming+Home	Better Man	2016-12-01 07:43:00	Leon Bridges
119	Vitology	Better Man	2016-12-01 07:46:00	Pearl Jam
120	Grand+National	Better Than	2016-12-01 07:53:00	John Butler Trio
121	Give+the+People+What+They+Want	Better Things	2016-12-01 07:56:00	The Kinks
122	Stax-volt+Singles	Big Bird	2016-12-01 08:00:00	Eddie Floyd
123	Simple+Truths	Big Boss Man	2016-12-01 08:02:00	Holmes Brothers
124	The+Music+Never+Stopped+-+Roots+Of+The+Grateful+Dead	Big Boss Man	2016-12-01 08:05:00	Jimmy Reed
125	Gumbo	Big Chief	2016-12-01 08:09:00	Dr. John
126	The+Waterfall	Big Decisions	2016-12-01 08:13:00	My Morning Jacket
127	Lone+Rhino	Big Electric Cat	2016-12-01 08:17:00	Adrian Belew
128	Talk+Is+Cheap	Big Enough	2016-12-01 08:24:00	Keith Richards
129	21+(soundtrack)	Big Ideas	2016-12-01 08:28:00	LCD Soundsystem
130	Brand+New+Day	Big Lie Small World	2016-12-01 08:33:00	Sting
131	The+Principal+Of+Moments	Big Log	2016-12-01 08:41:00	Robert Plant
132	Foo+Fighters	Big Me	2016-12-01 08:46:00	Foo Fighters
133	The+Lumineers	Big Parade	2016-12-01 08:51:00	The Lumineers
134	At+San+Quentin	Big River	2016-12-01 08:56:00	Johnny Cash
135	Living+With+The+Law	Big Sky Country	2016-12-01 08:59:00	Chris Whitley
136	So	Big Time	2016-12-01 09:03:00	Peter Gabriel
137	Debut	Big Time Sensuality	2016-12-01 09:08:00	Bjork
138	Ladies+Of+The+Canyon	Big Yellow Taxi	2016-12-01 09:12:00	Joni Mitchell
139	Heavier+Things	Bigger Than My Body	2016-12-01 09:14:00	John Mayer
140	The+Queen+Is+Dead	Bigmouth Strikes Again	2016-12-01 09:21:00	The Smiths
141	Peter+Gabriel+(iii)	Biko	2016-12-01 09:25:00	Peter Gabriel
142	Heart+Like+A+Levee	Biloxi	2016-12-01 09:33:00	Hiss Golden Messenger
143	The+Next+Hundred+Years	Biloxi	2016-12-01 09:35:00	Ted Hawkins
144	Natalie+Prass	Bird Of Prey	2016-12-01 09:40:00	Natalie Prass
145	Flood	Birdhouse In Your Soul	2016-12-01 09:45:00	They Might Be Giants
146	Heavy+Weather	Birdland	2016-12-01 09:50:00	Weather Report
147	Life's+Too+Good	Birthday	2016-12-01 09:56:00	Sugarcubes
148	Sticky+Fingers	Bitch	2016-12-01 10:00:00	The Rolling Stones
149	5+By+Five	Bits And Pieces	2016-12-01 10:04:00	Dave Clark Five
150	Sister+Sweetly	Bittersweet	2016-12-01 10:07:00	Big Head Todd & The Monsters
151	New+Adventures+In+Hi-fi	Bittersweet Me	2016-12-01 10:13:00	R. E. M.
152	Urban+Hymns	Bittersweet Symphony	2016-12-01 10:18:00	The Verve
153	Marvin+The+Album	Bizarre Love Triangle	2016-12-01 10:24:00	Frente
154	Brotherhood	Bizarre Love Triangle	2016-12-01 10:26:00	New Order
155	Ten	Black	2016-12-01 10:30:00	Pearl Jam
156	Sunbathing+Animal	Black And White	2016-12-01 10:36:00	Parquet Courts
157	Black+Cadillac	Black Cadillac	2016-12-01 10:41:00	Rosanne Cash
158	Sweets+From+A+Stranger	Black Coffee In Bed	2016-12-01 10:45:00	Squeeze
159	Aja	Black Cow	2016-12-01 10:53:00	Steely Dan
160	Katy+Lied	Black Friday	2016-12-01 10:59:00	Steely Dan
161	Grave+Dancers+Union	Black Gold	2016-12-01 11:03:00	Soul Asylum
162	The+Allman+Brothers+Band	Black Hearted Woman	2016-12-01 11:08:00	The Allman Brothers
163	Eye+To+The+Telescope	Black Horse & The Cherry Tree	2016-12-01 11:13:00	K. T. Tunstall
164	Black+Is+Black	Black Is Black	2016-12-01 11:16:00	Los Bravos
165	Abraxas	Black Magic Woman/gypsy Queen	2016-12-01 11:21:00	Santana
166	Neon+Bible	Black Mirror	2016-12-01 11:26:00	Arcade Fire
167	Kintsugi	Black Sun	2016-12-01 11:30:00	Death Cab For Cutie
168	What+Were+Once+Vices+Are+Now+Habits	Black Water	2016-12-01 11:34:00	The Doobie Brothers
169	Deregulating+Jazz+(art+Of+The+Trio+1)	Blackbird	2016-12-01 11:40:00	Brad Mehldau
170	The+Beatles	Blackbird	2016-12-01 11:44:00	The Beatles
171	Distilation	Blackbirds	2016-12-01 11:47:00	Erin McKeown
172	My+Aim+Is+True	Blame It On Cain	2016-12-01 11:53:00	Elvis Costello
173	Wanted+on+Voyage	Blame It On Me	2016-12-01 11:55:00	George Ezra
174	Blank+Generation	Blank Generation	2016-12-01 12:00:00	Richard Hell & The Voidoids
175	Some+Great+Reward	Blasphemous Rumors	2016-12-01 12:03:00	Depeche Mode
176	Naked	Blind	2016-12-01 12:10:00	Talking Heads
177	Greetings+From+Asbury+Park,+New+Jersey	Blinded By The Light	2016-12-01 12:15:00	Bruce Springsteen
178	Violent+Femmes	Blister In The Sun	2016-12-01 12:22:00	Violent Femmes
179	Ramones	Blitzkrieg Bop	2016-12-01 12:24:00	The Ramones
180	Dig+Your+Own+Hole	Block Rockin' Beats	2016-12-01 12:26:00	Chemical Brothers
181	Dig+Your+Own+Hole	Block Rockin' Beats	2016-12-01 12:26:00	Chemical Brothers
182	Especially+For+You	Blood & Roses	2016-12-01 12:29:00	The Smithereens
183	High+Violet	Bloodbuzz Ohio	2016-12-01 12:35:00	The National
184	Crime+Of+The+Century	Bloody Well Right	2016-12-01 12:39:00	Supertramp
185	Blue	Blue	2016-12-01 12:44:00	Joni Mitchell
186	Tomorrow+The+Green+Grass	Blue	2016-12-01 12:47:00	The Jayhawks
187	Red+Headed+Stranger	Blue Eyes Crying In The Rain	2016-12-01 12:50:00	Willie Nelson
188	Magical+Mystery+Tour	Blue Jay Way	2016-12-01 12:53:00	The Beatles
189	Fleetwood+Mac	Blue Letter	2016-12-01 12:58:00	Fleetwood Mac
190	Substance	Blue Monday	2016-12-01 13:01:00	New Order
191	His+Band+And+Street+Choir	Blue Money	2016-12-01 13:06:00	Van Morrison
192	Salt	Blue Rose	2016-12-01 13:09:00	Lizz Wright
193	Stardust	Blue Skies	2016-12-01 13:15:00	Willie Nelson
194	Eat+A+Peach	Blue Sky	2016-12-01 13:18:00	The Allman Brothers
195	The+Complete+Sun+Singles	Blue Suede Shoes	2016-12-01 13:25:00	Carl Perkins
196	Elvis+Presley	Blue Suede Shoes	2016-12-01 13:28:00	Elvis Presley
197	Perfectly+Good+Guitar	Blue Telescope	2016-12-01 13:30:00	John Hiatt
198	This+Is+Fats+Domino!	Blueberry Hill	2016-12-01 13:34:00	Fats Domino
199	Buffalo+Springfield+Again	Bluebird	2016-12-01 13:38:00	Buffalo Springfield
200	Band+On+The+Run	Bluebird	2016-12-01 13:42:00	Paul McCartney & Wings
201	Dancing+The+Blues	Blues Ain't Nothing	2016-12-01 13:46:00	Taj Mahal
202	Everything+Must+Go	Blues Beach	2016-12-01 13:52:00	Steely Dan
203	Covenant	Blues Go Walking	2016-12-01 13:57:00	Greg Brown
204	G+Love+&+Special+Sauce	Blues Music	2016-12-01 14:01:00	G Love & Special Sauce
205	Eric+Clapton	Blues Power	2016-12-01 14:06:00	Eric Clapton
206	Bo+Diddley	Bo Diddley	2016-12-01 14:09:00	Bo Diddley
207	Born+In+The+USA	Bobby Jean	2016-12-01 14:13:00	Bruce Springsteen
208	Countdown+To+Ecstasy	Bodhisattva	2016-12-01 14:17:00	Steely Dan
209	Hello+Nasty	Body Movin'	2016-12-01 14:22:00	Beastie Boys
210	Thirteen+Tales+From+Urban+Bohemia	Bohemian Like You	2016-12-01 14:25:00	The Dandy Warhols
211	A+Night+At+The+Opera	Bohemian Rhapsody	2016-12-01 14:31:00	Queen
212	Axis:+Bold+As+Love	Bold As Love	2016-12-01 14:36:00	Jimi Hendrix
213	Heaven+Help+The+Fool	Bombs Away	2016-12-01 14:41:00	Bob Weir
214	Bend	Bonfires Burning	2016-12-01 14:48:00	The Origin
215	Monsieur+Gainsbourg+Originals	Bonnie & Clyde	2016-12-01 14:52:00	Serge Gainsbourg & Brigitte Bardot
216	Bad+Boy	Bony Moronie	2016-12-01 14:57:00	Larry Williams
217	The+Classic+Early+Years+1948-1951	Boogie Chillen	2016-12-01 15:01:00	John Lee Hooker
218	Soul+Hits+Of+The+70's+-+Didn't+It+Blow+Your+Mind!+Vol.+12	Boogie Down	2016-12-01 15:04:00	Eddie Kendricks
219	Too+Hot+To+Handle	Boogie Nights	2016-12-01 15:08:00	Heatwave
220	Fullfillingness+First+Finale	Boogie On Reggae Woman	2016-12-01 15:13:00	Stevie Wonder
221	Physical+Graffiti	Boogie With Stu	2016-12-01 15:19:00	Led Zeppelin
222	Shepherd+Moons	Book Of Days	2016-12-01 15:23:00	Enya
223	Night+Food	Book Of Rules	2016-12-01 15:26:00	The Heptones
224	Boom+Boom	Boom Boom	2016-12-01 15:32:00	John Lee Hooker
225	Sentimental+Hygiene	Boom Boom Mancini	2016-12-01 15:34:00	Warren Zevon
226	His+Best	Boom, Boom Out Goes The Light	2016-12-01 15:39:00	Little Walter
227	Shangri-La	Boom, Like That	2016-12-01 15:42:00	Mark Knopfler
228	Mosquitos	Boombox	2016-12-01 15:46:00	Mosquitos
229	The+Blasters	Border Radio	2016-12-01 15:49:00	The Blasters
230	Elton+John	Border Song	2016-12-01 15:52:00	Elton John
231	Madonna	Borderline	2016-12-01 16:00:00	Madonna
232	Rhythm+Of+The+Saints	Born At The Right Time	2016-12-01 16:06:00	Paul Simon
233	Paul+Butterfield+Blues+Band	Born In Chicago	2016-12-01 16:12:00	Paul Butterfield Blues Band
234	Born+In+The+USA	Born In The USA	2016-12-01 16:15:00	Bruce Springsteen
235	Bayou+Country	Born On The Bayou	2016-12-01 16:20:00	Creedence Clearwater Revival
236	Born+To+Run	Born To Run	2016-12-01 16:25:00	Bruce Springsteen
237	The+American+In+Me	Born Too Late	2016-12-01 16:33:00	Steve Forbert
238	The+Ultimate+Collection	Born Under A Bad Sign	2016-12-01 16:37:00	Albert King
239	Remain+In+Light	Born Under Punches (the Heat Goes On)	2016-12-01 16:40:00	Talking Heads
240	Mutations	Bottle Of Blues	2016-12-01 16:47:00	Beck
241	Carry+the+Fire	Bottom of the River	2016-12-01 16:52:00	Delta Rae
242	Hold+Out	Boulevard	2016-12-01 16:56:00	Jackson Browne
243	Lawn+Boy	Bouncing Around The Room	2016-12-01 17:00:00	Phish
244	Revelator	Bound For Glory	2016-12-01 17:04:00	Tedeschi Trucks Band
245	Stand+Up	Bouree	2016-12-01 17:09:00	Jethro Tull
246	A.M.	Box Full Of Letters	2016-12-01 17:15:00	Wilco
247	American+Beauty	Box Of Rain	2016-12-01 17:18:00	Grateful Dead
248	The+Shepherd's+Dog	Boy With A Coin	2016-12-01 17:24:00	Iron And Wine
249	Crazy+For+You	Boyfriend	2016-12-01 17:29:00	Best Coast
250	Please+Please+Me	Boys	2016-12-01 17:32:00	The Beatles
251	Boys+Don't+Cry	Boys Don't Cry	2016-12-01 17:34:00	The Cure
252	Chase+The+Sun	Boys in the Street	2016-12-01 17:37:00	Greg Holden
253	A+Sailor?s+Guide+To+Earth	Brace For Impact	2016-12-01 17:44:00	Sturgill Simpson
254	London+Calling	Brand New Cadillac	2016-12-01 17:48:00	The Clash
255	Brand+New+Day	Brand New Day	2016-12-01 17:50:00	Sting
256	The+Best+Of+Melanie	Brand New Key	2016-12-01 17:57:00	Melanie
257	Strongg	Brand New World	2016-12-01 18:00:00	Black Uhuru
258	Grievous+Angel	Brass Buttons	2016-12-01 18:04:00	Gram Parsons
259	Pretenders	Brass In Pocket	2016-12-01 18:10:00	The Pretenders
260	The+Doors	Break On Through	2016-12-01 18:13:00	The Doors
261	In+Between+Dreams	Breakdown	2016-12-01 18:15:00	Jack Johnson
262	In+Between+Dreams	Breakdown	2016-12-01 18:15:00	Jack Johnson
263	Tom+Petty+&+The+Heartbreakers	Breakdown	2016-12-01 18:19:00	Tom Petty & The Heartbreakers
264	Breakfast+In+America	Breakfast In America	2016-12-01 18:23:00	Supertramp
265	UB40	Breakfast In Bed	2016-12-01 18:26:00	UB40
266	Low	Breaking Glass	2016-12-01 18:29:00	David Bowie
267	Blood+Sugar+Sex+Magik	Breaking The Girl	2016-12-01 18:31:00	Red Hot Chili Peppers
268	Night+And+Day	Breaking Us In Two	2016-12-01 18:36:00	Joe Jackson
269	Big+Boat	Breath and Burning	2016-12-01 18:42:00	Phish
270	Six+Feet+Under+-+Everything+Ends+(soundtrack)	Breathe Me	2016-12-01 18:46:00	Sia
271	Whatever+And+Ever,+Amen	Brick	2016-12-01 18:52:00	Ben Folds Five
272	Var+-+Pure+Funk	Brick House	2016-12-01 18:56:00	The Commodores
273	Blak+and+Blu	Bright Lights	2016-12-01 19:01:00	Gary Clark Jr.
274	Blues+Masters+Vol+2:+Postwar+Chicago	Bright Lights Big City	2016-12-01 19:05:00	Jimmy Reed
275	Before+Today	Bright Lit Blue Skies	2016-12-01 19:09:00	Ariel Pink's Haunted Graffiti
276	Into+The+Music	Bright Side Of The Road	2016-12-01 19:11:00	Van Morrison
277	Brill+Bruisers	Brill Bruisers	2016-12-01 19:15:00	The New Pornographers
278	Tunnel+Of+Love	Brilliant Disguise	2016-12-01 19:18:00	Bruce Springsteen
279	When+I+Was+Born+For+The+7th+Time	Brimful Of Asha	2016-12-01 19:22:00	Cornershop
280	The+Real+Folk+Blues	Bring It On Home	2016-12-01 19:28:00	Sonny Boy Williamson
281	The+Man+And+His+Music	Bring It On Home To Me	2016-12-01 19:31:00	Sam Cooke
282	Royal+Blue	Bring Me Some Water	2016-12-01 19:33:00	Koko Taylor
283	Psychedelic+Swamp	Bring My Baby Back	2016-12-01 19:39:00	Dr. Dog
284	The+Best+Of+Buffalo+Springfield	Broken Arrow	2016-12-01 19:43:00	Buffalo Springfield
285	Broken+English	Broken English	2016-12-01 19:52:00	Marianne Faithfull
286	B-Room	Broken Heart	2016-12-01 19:56:00	Dr. Dog
287	Sister+Sweetly	Broken Hearted Savior	2016-12-01 20:00:00	Big Head Todd & The Monsters
288	Super+Hits+Of+The+70's	Brother Louie	2016-12-01 20:04:00	Stories
289	Blowin'+Your+Mind!	Brown Eyed Girl	2016-12-01 20:11:00	Van Morrison
290	Sticky+Fingers	Brown Sugar	2016-12-01 20:14:00	The Rolling Stones
291	Bruised+Orange	Bruised Orange	2016-12-01 20:18:00	John Prine
292	Brushfire+Fairytales	Bubble Toes	2016-12-01 20:25:00	Jack Johnson
293	Wanted+on+Voyage	Budapest	2016-12-01 20:28:00	George Ezra
294	Weezer	Buddy Holly	2016-12-01 20:32:00	Weezer
295	Homebrew	Buddy X	2016-12-01 20:34:00	Neneh Cherry
296	Cure+For+Pain	Buena	2016-12-01 20:37:00	Morphine
297	Legend	Buffalo Soldier	2016-12-01 20:42:00	Bob Marley & The Wailers
298	RAW+LIKE+SUSHI	Buffalo Stance	2016-12-01 20:46:00	Neneh Cherry
299	The+British+Invasion:+The+History+Of+British+Rock+Volume+6	Build Me Up Buttercup	2016-12-01 20:53:00	The Foundations
300	Surfacing	Building A Mystery	2016-12-01 20:56:00	Sarah McLachlan
301	The+Clarence+Greenwood+Recordings	Bullet And A Target	2016-12-01 21:00:00	Citizen Cope
302	The+Joshua+Tree	Bullet The Blue Sky	2016-12-01 21:04:00	U2
303	Warchild	Bungle In The Jungle	2016-12-01 21:11:00	Jethro Tull
304	Tumbleweed+Connection	Burn Down The Mission	2016-12-01 21:14:00	Elton John
305	A+Moon+Shaped+Pool	Burn The Witch	2016-12-01 21:20:00	Radiohead
306	Buffalo+Springfield	Burned	2016-12-01 21:24:00	Buffalo Springfield
307	Speaking+In+Tongues	Burning Down The House	2016-12-01 21:29:00	Talking Heads
308	The+Essential+Elvis+Presley	Burning Love	2016-12-01 21:33:00	Elvis Presley
309	Rock+N+Roll	Burning Photographs	2016-12-01 21:35:00	Ryan Adams
310	The+Hollies+30th+Anniversary+Collection	Bus Stop	2016-12-01 21:41:00	The Hollies
311	Flight+of+the+Conchords	Business Time	2016-12-01 21:44:00	Flight Of The Conchords
312	Anthology+(cd-11	Busted	2016-12-01 21:48:00	Ray Charles
313	11:11	Buster Voodoo	2016-12-01 21:52:00	Rodrigo Y Gabriela
314	Haughty+Melodic	Busting Up A Starbucks	2016-12-01 21:55:00	Mike Doughty
315	Blues+Traveler	But Anyway	2016-12-01 22:00:00	Blues Traveler
316	Soul+Shots+-+A+Collection+Of+Sixties+Soul+Classics	But It's Alright	2016-12-01 22:04:00	J. J. Jackson
317	By+The+Time+I+Get+To+Phoenix	By The Time I Get To Phoenix	2016-12-01 22:10:00	Glen Campbell
318	The+Cars	Bye Bye Love	2016-12-01 22:12:00	The Cars
319	The+Everly+Brothers	Bye Bye Love	2016-12-01 22:17:00	The Everly Brothers
320	An+1	Ca Plane Pour Moi	2016-12-01 22:19:00	Plastic Bertrand
321	For+Me+It's+You	Cab	2016-12-01 22:22:00	Train
322	The+River	Cadillac Ranch	2016-12-01 22:25:00	Bruce Springsteen
323	Recycling+The+Blues+&+Other+Related+Stuff	Cakewalk Into Town	2016-12-01 22:30:00	Taj Mahal
324	The+Best+Of+Bb+King	Caldonia	2016-12-01 22:33:00	B. B. King
325	Bon+Iver,+Bon+Iver	Calgary	2016-12-01 22:36:00	Bon Iver
326	Bon+Iver,+Bon+Iver	Calgary	2016-12-01 22:36:00	Bon Iver
327	Delta+Spirit	California	2016-12-01 22:42:00	Delta Spirit
